masa_A
t.θ
0,000.-102,0°
0,033.-102,0°
0,066.-102,0°
0,099.-102,0°
0,133.-101,9°
0,166.-101,9°
0,199.-101,9°
0,233.-101,6°
0,266.-101,2°
0,299.-100,6°
0,333.-100,1°
0,366.-99,5°
0,399.-98,9°
0,433.-97,9°
0,466.-97,0°
0,499.-96,0°
0,533.-95,1°
0,566.-94,1°
0,599.-93,1°
0,633.-92,0°
0,666.-91,0°
0,699.-89,8°
0,733.-88,7°
0,766.-87,7°
0,799.-86,7°
0,833.-85,7°
0,866.-84,8°
0,899.-83,9°
0,933.-83,0°
0,966.-82,2°
0,999.-81,6°
1,033.-81,0°
1,066.-80,5°
1,099.-80,0°
1,133.-79,6°
1,166.-79,4°
1,199.-79,3°
1,233.-79,3°
1,266.-79,3°
1,299.-79,6°
1,333.-79,9°
1,366.-80,3°
1,399.-80,7°
1,433.-81,3°
1,466.-81,9°
1,499.-82,7°
1,533.-83,5°
1,566.-84,3°
1,599.-85,2°
1,633.-86,2°
1,666.-87,2°
1,699.-88,2°
1,733.-89,3°
1,766.-90,4°
1,799.-91,4°
1,833.-92,5°
1,866.-93,5°
1,899.-94,5°
1,933.-95,5°
1,966.-96,4°
1,999.-97,4°
2,033.-98,1°
2,066.-98,9°
2,099.-99,6°
2,133.-100,1°
2,166.-100,6°
2,199.-101,1°
2,233.-101,4°
2,266.-101,6°
2,299.-101,8°
2,333.-101,8°
2,366.-101,7°
2,399.-101,6°
2,433.-101,3°
2,466.-101,0°
2,499.-100,5°
2,533.-99,9°
2,566.-99,3°
2,599.-98,6°
2,633.-97,9°
2,666.-97,0°
2,699.-96,1°
2,733.-95,2°
2,766.-94,2°
2,799.-93,2°
2,833.-92,2°
2,866.-91,1°
2,899.-90,1°
2,933.-89,0°
2,966.-88,0°
2,999.-86,9°
3,033.-85,9°
3,066.-85,0°
3,099.-84,1°
3,133.-83,2°
3,166.-82,5°
3,199.-81,8°
3,233.-81,2°
3,266.-80,7°
3,299.-80,3°
3,333.-79,9°
3,366.-79,6°
3,399.-79,5°
3,432.-79,4°
3,466.-79,4°
3,499.-79,6°
3,532.-79,8°
3,566.-80,2°
3,599.-80,6°
3,632.-81,2°
3,666.-81,8°
3,699.-82,5°
3,732.-83,2°
3,766.-84,1°
3,799.-85,0°
3,832.-86,0°
3,866.-86,9°
3,899.-88,0°
3,932.-89,0°
3,966.-90,0°
3,999.-91,1°
4,032.-92,2°
4,066.-93,2°
4,099.-94,2°
4,132.-95,2°
4,166.-96,1°
4,199.-97,0°
4,232.-97,8°
4,266.-98,6°
4,299.-99,2°
4,332.-99,2°
4,366.-99,9°
4,399.-100,3°
4,432.-100,8°
4,466.-101,1°
4,499.-101,3°
4,532.-101,4°
4,566.-101,5°
4,599.-101,4°
4,632.-101,3°
4,666.-101,0°
4,699.-100,7°
4,732.-100,3°
4,766.-99,8°
4,799.-99,2°
4,832.-98,6°
4,866.-97,9°
4,899.-97,1°
4,932.-96,2°
4,966.-95,3°
4,999.-94,4°
5,032.-93,4°
5,066.-92,4°
5,099.-91,3°
5,132.-90,4°
5,166.-89,3°
5,199.-88,3°
5,232.-87,3°
5,266.-86,3°
5,299.-85,4°
5,332.-84,5°
5,366.-83,6°
5,399.-82,8°
5,432.-82,1°
5,466.-81,5°
5,499.-80,9°
5,532.-80,5°
5,566.-80,1°
5,599.-79,8°
5,632.-79,6°
5,666.-79,6°
5,699.-79,6°
5,732.-79,7°
5,766.-79,9°
5,799.-80,3°
5,832.-80,7°
5,866.-81,2°
5,899.-81,8°
5,932.-82,4°
5,966.-83,2°
5,999.-84,0°
6,032.-84,9°
6,066.-85,8°
6,099.-86,7°
6,132.-87,7°
6,166.-88,8°
6,199.-89,8°
6,232.-90,8°
6,266.-91,8°
6,299.-92,8°
6,332.-93,8°
6,366.-94,9°
6,399.-95,8°
6,432.-96,6°
6,466.-97,5°
6,499.-98,3°
6,532.-98,9°
6,566.-99,5°
6,599.-100,1°
6,632.-100,5°
6,666.-100,9°
6,699.-101,2°
6,732.-101,4°
6,765.-101,4°
