masa_A
t	θ
0,000	-152,1°
0,034	-152,0°
0,067	-150,7°
0,101	-149,3°
0,134	-147,4°
0,168	-145,0°
0,201	-141,9°
0,235	-138,4°
0,268	-134,8°
0,302	-130,3°
0,335	-126,4°
0,369	-122,3°
0,402	-117,4°
0,436	-111,7°
0,469	-106,8°
0,503	-100,5°
0,536	-94,8°
0,570	-91,3°
0,603	-85,0°
0,637	-79,8°
0,670	-74,3°
0,704	-69,0°
0,737	-63,6°
0,771	-60,2°
0,804	-55,9°
0,838	-52,0°
0,871	-48,2°
0,905	-44,6°
0,938	-41,5°
0,972	-38,8°
1,005	-36,5°
1,039	-34,0°
1,072	-32,3°
1,106	-31,1°
1,139	-30,5°
1,173	-30,2°
1,206	-30,3°
1,240	-30,8°
1,274	-31,7°
1,307	-33,1°
1,341	-35,0°
1,374	-37,1°
1,407	-39,6°
1,441	-42,4°
1,475	-45,5°
1,508	-49,1°
1,542	-52,7°
1,575	-56,6°
1,609	-60,5°
1,642	-64,9°
1,676	-69,1°
1,709	-73,7°
1,743	-80,6°
1,776	-82,8°
1,810	-91,2°
1,843	-94,9°
1,877	-100,2°
1,910	-105,1°
1,944	-110,0°
1,977	-114,5°
2,011	-119,4°
2,044	-123,0°
2,078	-127,0°
2,111	-130,7°
2,145	-134,1°
2,178	-137,4°
2,212	-140,1°
2,245	-142,5°
2,279	-144,4°
2,312	-145,7°
2,346	-146,6°
2,379	-147,0°
2,413	-146,9°
2,446	-146,3°
2,480	-145,1°
2,514	-143,6°
2,547	-141,6°
2,581	-139,2°
2,614	-136,7°
2,648	-133,8°
2,681	-130,5°
2,715	-126,9°
2,748	-123,2°
2,782	-119,7°
2,815	-115,2°
2,849	-110,8°
2,882	-106,2°
2,916	-102,1°
2,949	-97,4°
2,983	-91,1°
3,016	-85,6°
3,050	-81,0°
3,083	-76,3°
3,117	-71,8°
3,150	-67,0°
3,184	-62,8°
3,217	-58,7°
3,251	-54,9°
3,284	-51,3°
3,318	-48,0°
3,351	-45,1°
3,385	-42,4°
3,418	-40,1°
3,452	-37,9°
3,485	-36,0°
3,519	-34,5°
3,553	-33,7°
3,586	-33,7°
3,620	-34,2°
3,653	-35,2°
3,686	-36,1°
3,720	-37,5°
3,754	-39,1°
3,787	-41,1°
3,821	-43,5°
3,854	-46,2°
3,888	-49,2°
3,921	-52,5°
3,955	-56,0°
3,988	-59,8°
4,022	-63,9°
4,055	-68,0°
4,089	-72,4°
4,122	-76,7°
4,156	-81,5°
4,189	-85,8°
4,223	-89,1°
4,256	-95,6°
4,290	-100,6°
4,323	-105,7°
4,357	-109,5°
4,390	-114,3°
4,424	-118,7°
4,457	-123,1°
4,491	-126,4°
4,524	-129,8°
4,558	-133,0°
4,591	-135,7°
4,625	-138,0°
4,658	-139,9°
4,692	-141,5°
4,726	-142,4°
4,759	-143,1°
4,793	-143,3°
4,826	-142,9°
4,860	-142,1°
4,893	-141,0°
4,927	-139,5°
4,960	-137,5°
4,994	-135,4°
5,027	-132,8°
5,061	-129,7°
5,094	-126,2°
5,128	-123,0°
5,161	-119,4°
5,195	-115,6°
5,228	-111,2°
5,262	-107,0°
5,295	-102,3°
5,329	-97,7°
5,362	-93,1°
5,396	-89,4°
5,429	-81,9°
5,463	-77,4°
5,496	-73,2°
5,530	-69,0°
5,563	-64,9°
5,597	-61,0°
5,630	-57,2°
5,664	-53,7°
5,697	-50,5°
5,731	-47,6°
5,764	-45,1°
5,798	-42,8°
5,831	-41,0°
5,865	-39,4°
5,899	-38,2°
5,932	-37,2°
5,966	-36,8°
5,999	-36,8°
6,033	-37,2°
6,066	-38,0°
6,100	-39,1°
6,133	-40,5°
6,167	-42,4°
6,200	-44,6°
6,234	-47,0°
6,267	-49,7°
6,301	-52,8°
6,334	-56,2°
6,368	-59,8°
6,401	-63,6°
6,435	-67,6°
6,468	-71,8°
6,502	-76,0°
6,535	-80,2°
6,569	-84,8°
6,602	-88,7°
6,636	-94,9°
6,669	-99,4°
6,703	-104,4°
6,736	-108,5°
6,770	-111,4°
6,803	-117,1°
6,837	-120,8°
6,871	-124,2°
6,904	-127,1°
6,937	-129,9°
6,971	-132,3°
7,004	-134,4°
7,038	-136,1°
7,071	-137,4°
7,105	-138,4°
7,138	-138,9°
